DEPARTAMENTO,MUNICIPIO
AMAZONAS,PUERTO SANTANDER
AMAZONAS,PUERTO NARINO
AMAZONAS,TARAPACA
AMAZONAS,PUERTO ALEGRIA
AMAZONAS,MIRITI PARANA
AMAZONAS,PUERTO ARICA
AMAZONAS,LETICIA
AMAZONAS,EL ENCANTO
AMAZONAS,LA CHORRERA
AMAZONAS,LA PEDRERA
AMAZONAS,LA VICTORIA
ANTIOQUIA,SAN FRANCISCO
ANTIOQUIA,SABANETA
ANTIOQUIA,FRONTINO
ANTIOQUIA,SALGAR
ANTIOQUIA,SABANALARGA
ANTIOQUIA,SAN JERONIMO
ANTIOQUIA,SAN ROQUE
ANTIOQUIA,SAN VICENTE
ANTIOQUIA,SANTA BARBARA
ANTIOQUIA,SAN RAFAEL
ANTIOQUIA,SAN CARLOS
ANTIOQUIA,SAN LUIS
ANTIOQUIA,SAN PEDRO
ANTIOQUIA,RIONEGRO
ANTIOQUIA,NECHI
ANTIOQUIA,OLAYA
ANTIOQUIA,PENOL
ANTIOQUIA,NECOCLI
ANTIOQUIA,MURINDO
ANTIOQUIA,MUTATA
ANTIOQUIA,NARINO
ANTIOQUIA,PUERTO TRIUNFO
ANTIOQUIA,REMEDIOS
ANTIOQUIA,RETIRO
ANTIOQUIA,PUERTO NARE
ANTIOQUIA,PEQUE
ANTIOQUIA,PUEBLORRICO
ANTIOQUIA,PUERTO BERRIO
ANTIOQUIA,YONDO
ANTIOQUIA,ZARAGOZA
ANTIOQUIA,EL CARMEN DE VIBORAL
ANTIOQUIA,YOLOMBO
ANTIOQUIA,VENECIA
ANTIOQUIA,YALI
ANTIOQUIA,YARUMAL
ANTIOQUIA,SANTA ROSA DE OSOS
ANTIOQUIA,SANTAFE DE ANTIOQUIA
ANTIOQUIA,SAN PEDRO DE URABA
ANTIOQUIA,SAN ANDRES DE CUERQUIA
ANTIOQUIA,SAN JUAN DE URABA
ANTIOQUIA,SAN JOSE DE LA MONTANA
ANTIOQUIA,VIGIA DEL FUERTE
ANTIOQUIA,VEGACHI
ANTIOQUIA,TAMESIS
ANTIOQUIA,TARAZA
ANTIOQUIA,TARSO
ANTIOQUIA,SOPETRAN
ANTIOQUIA,SANTO DOMINGO
ANTIOQUIA,EL SANTUARIO
ANTIOQUIA,SEGOVIA
ANTIOQUIA,URRAO
ANTIOQUIA,VALDIVIA
ANTIOQUIA,VALPARAISO
ANTIOQUIA,URAMITA
ANTIOQUIA,TITIRIBI
ANTIOQUIA,TOLEDO
ANTIOQUIA,TURBO
ANTIOQUIA,MONTEBELLO
ANTIOQUIA,BURITICA
ANTIOQUIA,BRICENO
ANTIOQUIA,CAICEDO
ANTIOQUIA,CACERES
ANTIOQUIA,BETANIA
ANTIOQUIA,BELLO
ANTIOQUIA,CIUDAD BOLIVAR
ANTIOQUIA,BETULIA
ANTIOQUIA,CALDAS
ANTIOQUIA,JARDIN
ANTIOQUIA,CAREPA
ANTIOQUIA,CAUCASIA
ANTIOQUIA,CAROLINA
ANTIOQUIA,CANASGORDAS
ANTIOQUIA,CAMPAMENTO
ANTIOQUIA,CARAMANTA
ANTIOQUIA,CARACOLI
ANTIOQUIA,AMALFI
ANTIOQUIA,AMAGA
ANTIOQUIA,ANGELOPOLIS
ANTIOQUIA,ANDES
ANTIOQUIA,ABEJORRAL
ANTIOQUIA,MEDELLIN
ANTIOQUIA,ALEJANDRIA
ANTIOQUIA,ABRIAQUI
ANTIOQUIA,ANGOSTURA
ANTIOQUIA,ARGELIA
ANTIOQUIA,ARBOLETES
ANTIOQUIA,BARBOSA
ANTIOQUIA,ARMENIA
ANTIOQUIA,SONSON
ANTIOQUIA,ANORI
ANTIOQUIA,APARTADO
ANTIOQUIA,ANZA
ANTIOQUIA,CHIGORODO
ANTIOQUIA,HISPANIA
ANTIOQUIA,HELICONIA
ANTIOQUIA,ITUANGO
ANTIOQUIA,ITAGUI
ANTIOQUIA,MARINILLA
ANTIOQUIA,GUADALUPE
ANTIOQUIA,GUATAPE
ANTIOQUIA,GUARNE
ANTIOQUIA,LA UNION
ANTIOQUIA,LA PINTADA
ANTIOQUIA,MACEO
ANTIOQUIA,LIBORINA
ANTIOQUIA,JERICO
ANTIOQUIA,BELMIRA
ANTIOQUIA,LA ESTRELLA
ANTIOQUIA,LA CEJA
ANTIOQUIA,GOMEZ PLATA
ANTIOQUIA,CONCORDIA
ANTIOQUIA,EL BAGRE
ANTIOQUIA,ENVIGADO
ANTIOQUIA,CONCEPCION
ANTIOQUIA,DON MATIAS
ANTIOQUIA,DABEIBA
ANTIOQUIA,COPACABANA
ANTIOQUIA,EBEJICO
ANTIOQUIA,GRANADA
ANTIOQUIA,GIRALDO
ANTIOQUIA,GIRARDOTA
ANTIOQUIA,ENTRERRIOS
ANTIOQUIA,COCORNA
ANTIOQUIA,CISNEROS
ANTIOQUIA,FREDONIA
ARAUCA,FORTUL
ARAUCA,ARAUQUITA
ARAUCA,SARAVENA
ARAUCA,PUERTO RONDON
ARAUCA,ARAUCA
ARAUCA,CRAVO NORTE
ARAUCA,TAME
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA,SAN ANDRES
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA,PROVIDENCIA
ATLANTICO,PONEDERA
ATLANTICO,PUERTO COLOMBIA
ATLANTICO,REPELON
ATLANTICO,JUAN DE ACOSTA
ATLANTICO,PALMAR DE VARELA
ATLANTICO,CAMPO DE LA CRUZ
ATLANTICO,GALAPA
ATLANTICO,SANTO TOMAS
ATLANTICO,SANTA LUCIA
ATLANTICO,TUBARA
ATLANTICO,SUAN
ATLANTICO,SOLEDAD
ATLANTICO,LURUACO
ATLANTICO,MANATI
ATLANTICO,MALAMBO
ATLANTICO,SABANALARGA
ATLANTICO,POLONUEVO
ATLANTICO,PIOJO
ATLANTICO,USIACURI
ATLANTICO,BARRANQUILLA
ATLANTICO,SABANAGRANDE
ATLANTICO,CANDELARIA
ATLANTICO,BARANOA
BOGOTA D.C.,BOGOTA D.C.
BOLIVAR,SAN CRISTOBAL
BOLIVAR,ZAMBRANO
BOLIVAR,CARTAGENA
BOLIVAR,MARGARITA
BOLIVAR,MONTECRISTO
BOLIVAR,SAN JACINTO
BOLIVAR,SAN PABLO DE BORBUR
BOLIVAR,EL PENON
BOLIVAR,SAN JACINTO DEL CAUCA
BOLIVAR,MARIA LA BAJA
BOLIVAR,ALTOS DEL ROSARIO
BOLIVAR,CANTAGALLO
BOLIVAR,CICUCO
BOLIVAR,ARROYOHONDO
BOLIVAR,CALAMAR
BOLIVAR,EL GUAMO
BOLIVAR,MAGANGUE
BOLIVAR,CORDOBA
BOLIVAR,CLEMENCIA
BOLIVAR,ARJONA
BOLIVAR,MAHATES
BOLIVAR,HATILLO DE LOBA
BOLIVAR,SAN MARTIN DE LOBA
BOLIVAR,EL CARMEN DE BOLIVAR
BOLIVAR,ACHI
BOLIVAR,ARENAL
BOLIVAR,SANTA ROSA DEL SUR
BOLIVAR,BARRANCO DE LOBA
BOLIVAR,SIMITI
BOLIVAR,SOPLAVIENTO
BOLIVAR,SANTA CATALINA
BOLIVAR,SANTA ROSA
BOLIVAR,TALAIGUA NUEVO
BOLIVAR,TURBANA
BOLIVAR,VILLANUEVA
BOLIVAR,TIQUISIO
BOLIVAR,TURBACO
BOLIVAR,PINILLOS
BOLIVAR,REGIDOR
BOLIVAR,NOROSI
BOLIVAR,MOMPOS
BOLIVAR,MORALES
BOLIVAR,SAN FERNANDO
BOLIVAR,SAN JUAN NEPOMUCENO
BOLIVAR,RIO VIEJO
BOLIVAR,SAN ESTANISLAO
BOYACA,COVARACHIA
BOYACA,TIBASOSA
BOYACA,CORRALES
BOYACA,CUBARA
BOYACA,TUNUNGUA
BOYACA,MOTAVITA
BOYACA,CIENEGA
BOYACA,CHIVATA
BOYACA,SAN MIGUEL DE SEMA
BOYACA,CHITARAQUE
BOYACA,COPER
BOYACA,TUTA
BOYACA,COMBITA
BOYACA,TURMEQUE
BOYACA,TUTAZA
BOYACA,UMBITA
BOYACA,TOCA
BOYACA,TOPAGA
BOYACA,TOTA
BOYACA,VENTAQUEMADA
BOYACA,LA UVITA
BOYACA,CUITIVA
BOYACA,CUCAITA
BOYACA,VIRACACHA
BOYACA,ZETAQUIRA
BOYACA,BELEN
BOYACA,BERBEO
BOYACA,ARCABUCO
BOYACA,AQUITANIA
BOYACA,SAN PABLO DE BORBUR
BOYACA,BOAVITA
BOYACA,BETEITIVA
BOYACA,SANTA ROSA DE VITERBO
BOYACA,VILLA DE LEYVA
BOYACA,TOGÜI
BOYACA,CHIQUIZA
BOYACA,ALMEIDA
BOYACA,TUNJA
BOYACA,PAZ DE RIO
BOYACA,SAN JOSE DE PARE
BOYACA,CHINAVITA
BOYACA,CERINZA
BOYACA,CHITA
BOYACA,CHISCAS
BOYACA,CHIQUINQUIRA
BOYACA,CAMPOHERMOSO
BOYACA,BRICENO
BOYACA,BOYACA
BOYACA,SAN LUIS DE GACENO
BOYACA,CALDAS
BOYACA,BUSBANZA
BOYACA,BUENA VISTA
BOYACA,TIPACOQUE
BOYACA,MONGUI
BOYACA,MONGUA
BOYACA,MUZO
BOYACA,MONIQUIRA
BOYACA,MACANAL
BOYACA,LA VICTORIA
BOYACA,MIRAFLORES
BOYACA,MARIPI
BOYACA,NOBSA
BOYACA,PAIPA
BOYACA,PAEZ
BOYACA,PANQUEBA
BOYACA,PAJARITO
BOYACA,OICATA
BOYACA,NUEVO COLON
BOYACA,PACHAVITA
BOYACA,OTANCHE
BOYACA,LA CAPILLA
BOYACA,FLORESTA
BOYACA,FIRAVITOBA
BOYACA,GAMEZA
BOYACA,GACHANTIVA
BOYACA,DUITAMA
BOYACA,CHIVOR
BOYACA,EL ESPINO
BOYACA,EL COCUY
BOYACA,GARAGOA
BOYACA,JENESANO
BOYACA,IZA
BOYACA,LABRANZAGRANDE
BOYACA,JERICO
BOYACA,GUATEQUE
BOYACA,GUACAMAYAS
BOYACA,GÜICAN
BOYACA,GUAYATA
BOYACA,SOGAMOSO
BOYACA,SOCHA
BOYACA,SORA
BOYACA,SOMONDOCO
BOYACA,SIACHOQUE
BOYACA,SATIVASUR
BOYACA,SOCOTA
BOYACA,SOATA
BOYACA,SOTAQUIRA
BOYACA,TENZA
BOYACA,TASCO
BOYACA,TINJACA
BOYACA,TIBANA
BOYACA,SUSACON
BOYACA,SORACA
BOYACA,SUTATENZA
BOYACA,SUTAMARCHAN
BOYACA,SATIVANORTE
BOYACA,QUIPAMA
BOYACA,PUERTO BOYACA
BOYACA,RAQUIRA
BOYACA,RAMIRIQUI
BOYACA,PAYA
BOYACA,PAUNA
BOYACA,PISBA
BOYACA,PESCA
BOYACA,RONDON
BOYACA,SANTANA
BOYACA,SAN MATEO
BOYACA,SANTA SOFIA
BOYACA,SANTA MARIA
BOYACA,SACHICA
BOYACA,SABOYA
BOYACA,SAN EDUARDO
BOYACA,SAMACA
CALDAS,MARQUETALIA
CALDAS,SAN JOSE
CALDAS,SAMANA
CALDAS,NEIRA
CALDAS,MARMATO
CALDAS,SUPIA
CALDAS,MARULANDA
CALDAS,SALAMINA
CALDAS,PENSILVANIA
CALDAS,RIOSUCIO
CALDAS,RISARALDA
CALDAS,NORCASIA
CALDAS,PACORA
CALDAS,PALESTINA
CALDAS,MANZANARES
CALDAS,BELALCAZAR
CALDAS,CHINCHINA
CALDAS,MANIZALES
CALDAS,AGUADAS
CALDAS,ANSERMA
CALDAS,ARANZAZU
CALDAS,LA MERCED
CALDAS,VICTORIA
CALDAS,FILADELFIA
CALDAS,LA DORADA
CALDAS,VITERBO
CALDAS,VILLAMARIA
CAQUETA,CURILLO
CAQUETA,ALBANIA
CAQUETA,SOLITA
CAQUETA,SOLANO
CAQUETA,SAN JOSE DEL FRAGUA
CAQUETA,VALPARAISO
CAQUETA,PUERTO RICO
CAQUETA,EL PAUJIL
CAQUETA,EL DONCELLO
CAQUETA,MORELIA
CAQUETA,BELEN DE LOS ANDAQUIES
CAQUETA,LA MONTANITA
CAQUETA,MILAN
CAQUETA,SAN VICENTE DEL CAGUAN
CAQUETA,CARTAGENA DEL CHAIRA
CAQUETA,FLORENCIA
CASANARE,MONTERREY
CASANARE,PORE
CASANARE,RECETOR
CASANARE,LA SALINA
CASANARE,CHAMEZA
CASANARE,AGUAZUL
CASANARE,YOPAL
CASANARE,SAN LUIS DE GACENO
CASANARE,HATO COROZAL
CASANARE,OROCUE
CASANARE,SABANALARGA
CASANARE,MANI
CASANARE,TAMARA
CASANARE,NUNCHIA
CASANARE,PAZ DE ARIPORO
CASANARE,TRINIDAD
CASANARE,SACAMA
CASANARE,TAURAMENA
CASANARE,VILLANUEVA
CAUCA,INZA
CAUCA,LA SIERRA
CAUCA,JAMBALO
CAUCA,GUAPI
CAUCA,ARGELIA
CAUCA,ALMAGUER
CAUCA,BOLIVAR
CAUCA,BALBOA
CAUCA,PAEZ
CAUCA,SAN SEBASTIAN
CAUCA,POPAYAN
CAUCA,SANTANDER DE QUILICHAO
CAUCA,EL TAMBO
CAUCA,CORINTO
CAUCA,GUACHENE
CAUCA,FLORENCIA
CAUCA,CAJIBIO
CAUCA,BUENOS AIRES
CAUCA,CALOTO
CAUCA,CALDONO
CAUCA,SUAREZ
CAUCA,SUCRE
CAUCA,SOTARA
CAUCA,SANTA ROSA
CAUCA,SILVIA
CAUCA,TIMBIO
CAUCA,VILLA RICA
CAUCA,PIENDAMO
CAUCA,TOTORO
CAUCA,TIMBIQUI
CAUCA,TORIBIO
CAUCA,ROSAS
CAUCA,MIRANDA
CAUCA,MORALES
CAUCA,MERCADERES
CAUCA,LA VEGA
CAUCA,LOPEZ
CAUCA,PADILLA
CAUCA,PUERTO TEJADA
CAUCA,PURACE
CAUCA,PATIA
CAUCA,PIAMONTE
CESAR,LA GLORIA
CESAR,MANAURE
CESAR,GONZALEZ
CESAR,EL PASO
CESAR,GAMARRA
CESAR,LA PAZ
CESAR,SAN DIEGO
CESAR,PUEBLO BELLO
CESAR,PAILITAS
CESAR,PELAYA
CESAR,AGUSTIN CODAZZI
CESAR,ASTREA
CESAR,AGUACHICA
CESAR,SAN ALBERTO
CESAR,VALLEDUPAR
CESAR,BECERRIL
CESAR,CURUMANI
CESAR,EL COPEY
CESAR,CHIRIGUANA
CESAR,BOSCONIA
CESAR,CHIMICHAGUA
CESAR,SAN MARTIN
CESAR,TAMALAMEQUE
CESAR,LA JAGUA DE IBIRICO
CESAR,RIO DE ORO
CHOCO,NOVITA
CHOCO,NUQUI
CHOCO,RIO QUITO
CHOCO,ACANDI
CHOCO,QUIBDO
CHOCO,SIPI
CHOCO,UNGUIA
CHOCO,MEDIO BAUDO
CHOCO,RIO IRO
CHOCO,RIOSUCIO
CHOCO,ALTO BAUDO
CHOCO,MEDIO SAN JUAN
CHOCO,CERTEGUI
CHOCO,JURADO
CHOCO,MEDIO ATRATO
CHOCO,LLORO
CHOCO,BAGADO
CHOCO,ATRATO
CHOCO,BAHIA SOLANO
CHOCO,BOJAYA
CHOCO,BAJO BAUDO
CHOCO,CONDOTO
CHOCO,TADO
CHOCO,EL CANTON DEL SAN PABLO
CHOCO,EL LITORAL DEL SAN JUAN
CHOCO,SAN JOSE DEL PALMAR
CHOCO,UNION PANAMERICANA
CHOCO,EL CARMEN DE ATRATO
CHOCO,BELEN DE BAJIRA
CHOCO,CARMEN DEL DARIEN
CHOCO,ISTMINA
CORDOBA,TUCHIN
CORDOBA,PUERTO ESCONDIDO
CORDOBA,PUERTO LIBERTADOR
CORDOBA,VALENCIA
CORDOBA,PURISIMA
CORDOBA,SAHAGUN
CORDOBA,SAN ANTERO
CORDOBA,SAN ANDRES SOTAVENTO
CORDOBA,SAN BERNARDO DEL VIENTO
CORDOBA,LA APARTADA
CORDOBA,TIERRALTA
CORDOBA,SAN PELAYO
CORDOBA,CHIMA
CORDOBA,SAN CARLOS
CORDOBA,CHINU
CORDOBA,LORICA
CORDOBA,COTORRA
CORDOBA,CERETE
CORDOBA,AYAPEL
CORDOBA,MONTERIA
CORDOBA,BUENAVISTA
CORDOBA,CANALETE
CORDOBA,CIENAGA DE ORO
CORDOBA,LOS CORDOBAS
CORDOBA,MONITOS
CORDOBA,SAN JOSE DE URE
CORDOBA,PUEBLO NUEVO
CORDOBA,MONTELIBANO
CORDOBA,MOMIL
CORDOBA,PLANETA RICA
CUNDINAMARCA,FUSAGASUGA
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE
CUNDINAMARCA,AGUA DE DIOS
CUNDINAMARCA,FACATATIVA
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA
CUNDINAMARCA,ZIPAQUIRA
CUNDINAMARCA,GACHETA
CUNDINAMARCA,SAN JUAN DE RIO SECO
CUNDINAMARCA,SASAIMA
CUNDINAMARCA,GUAYABAL DE SIQUIMA
CUNDINAMARCA,GAMA
CUNDINAMARCA,SOPO
CUNDINAMARCA,ALBAN
CUNDINAMARCA,ANOLAIMA
CUNDINAMARCA,EL PENON
CUNDINAMARCA,CARMEN DE CARUPA
CUNDINAMARCA,YACOPI
CUNDINAMARCA,VERGARA
CUNDINAMARCA,CHIA
CUNDINAMARCA,MEDINA
CUNDINAMARCA,MOSQUERA
CUNDINAMARCA,MADRID
CUNDINAMARCA,MANTA
CUNDINAMARCA,NILO
CUNDINAMARCA,NIMAIMA
CUNDINAMARCA,NARINO
CUNDINAMARCA,NEMOCON
CUNDINAMARCA,LA MESA
CUNDINAMARCA,LA PALMA
CUNDINAMARCA,JUNIN
CUNDINAMARCA,LA CALERA
CUNDINAMARCA,LENGUAZAQUE
CUNDINAMARCA,MACHETA
CUNDINAMARCA,LA PENA
CUNDINAMARCA,LA VEGA
CUNDINAMARCA,NOCAIMA
CUNDINAMARCA,QUIPILE
CUNDINAMARCA,APULO
CUNDINAMARCA,QUEBRADANEGRA
CUNDINAMARCA,ANAPOIMA
CUNDINAMARCA,SAN CAYETANO
CUNDINAMARCA,SAN FRANCISCO
CUNDINAMARCA,RICAURTE
CUNDINAMARCA,SAN BERNARDO
CUNDINAMARCA,PAIME
CUNDINAMARCA,PANDI
CUNDINAMARCA,VENECIA
CUNDINAMARCA,PACHO
CUNDINAMARCA,PUERTO SALGAR
